키워드,출제횟수
열전현상을이용한발전기,1
예비력,1
예비전원설비자가발전설비용량선정기준,1
우리나라전력계통운영,1
운전할때사고발생률,1
원통형동기발전기,1
원활하게하기위하여유연성flexib,1
유도장해차폐,1
유입변압기,1
유입변압기와몰드변압기,1
유입식변압기,1
유전율,1
유전율·투자율,1
유전체손,1
육상풍력·해상풍력,1
이상전압,1
이중모선절체,1
인가하여어느값에도달하게되면급격하게,1
인대용량발전원이전력계통,1
인ab전력계통,1
임피던스는r=09ω/kmx=04ω,1
입축형수차발전기,1
자기여자현상,1
자기유지시퀀스,1
자동발전제어agc,1
자동발전제어agcautomatic,1
자동부하전환개폐기alts,1
자동전압조절장치avr,1
자연순환보일러,1
장거리대용량송전선로,1
재생에너지개발이용보급촉진법에,1
재생에너지원수용능력hostingc,1
재생에너지출력제어,1
재폐로계전기,1
저압배전선로,1
저압뱅킹배전방식,1
저주파진동,1
저항3ω에흐르는전류ia,1
全계통정전,1
전기방식電氣防飯,1
전기에너지저장기술,1
전기자반작용,1
전기자반작용현상을발전기,1
전기품질,1
전동기절체,1
전력거래,1
전력계산방법,1
전력계통사고파급,1
전력계통유효접지,1
전력계통혁신방안,1
전력구감,1
전력구종합감시시스템,1
전력망건설회피기술,1
전력설비건설사업관리,1
전력수급비상,1
전력수요관리,1
전력시장운영,1
전력용케이블,1
전력용콘덴서,1
전력품질,1
전류가유도되어정전유도전자유도가발생,1
전압강하율·전압변동율·전력손실율,1
전압분포,1
전압불평형률,1
전압유지범위,1
전압이너무높거나낮,1
전압전류,1
전압조정방법,1
전압특성,1
전압sin,1
전철변전소,1
절연레벨,1
접지전극을병렬로접지,1
정동작,1
정리bernoulli’stheor,1
정현파,1
주변압기,1
주파수변경운전,1
주파수조정용발전소,1
중성선단선,1
중장기배전계획,1
중첩의원리,1
증분송전손실,1
지락전류,1
지락전류검출방식에대해,1
지열발전,1
지중배전선로,1
지중배전케이블진단,1
지중송전선로,1
지중송전선로케이블,1
지중송전케이블,1
직류송전방식,1
직류조류,1
진행파,1
차단기정격,1
차이점,1
참고하여등면적법,1
철탑계탑공법鐵塔繼塔工法,1
첨두부하운전,1
초고압계통전력케이블,1
초고압송전선로,1
초전도자기에너지저장설비smes,1
총괄비용법,1
최대송전가능점,1
최적경제운용,1
추기복수식터빈,1
케이블반사파,1
케이블허용전류,1
콘덴서에관한아래사항,1
통합조류기upfcunifiedpo,1
파동임피던스surgeimpedan,1
페란티현상ferrantipheno,1
펠톤수차,1
평형3상부하에전력,1
표준충격전압파형,1
풍력터빈,1
플레밍의법칙을발전기,1
핑galloping현상,1
한류기,1
한무인발전소,1
할때발전비용이최소가되는최적발전출력,1
항력형풍차,1
해수염도차발전,1
핵융합·핵분열,1
허용인체통,1
화력발전기,1
화력발전소단독운전,1
흐르는전류는,1
bewley가고안한격자도latti,1
blackout대정전발생원인,1
COS,1
EMS,1
helpertower공법,1
hz정현파교류,1
insulationcoordina,1
k-factor변압기,1
㎸배전선,1
LOLP,1
LVRT,1
OLTC,1
PenaltyFactor,1
PMU,1
PT,1
r-l-c회,1
sf6가스절연변전소gis,1
spotnetwork배전방식,1
SSR,1
STACIR/AW,1
SVC,1
TCSC,1
THD,1
wkg/m라할때전선지지점에고저차가,1
X/RRatio,1
Y행렬축약,1
